Wall time,Step,Value
1693488948.083786,20480,-314.6204528808594
1693488996.9284585,40960,-455.38214111328125
1693489048.6140242,61440,-489.770751953125
1693489105.719861,81920,-514.8665771484375
1693489162.26696,102400,-560.552734375
1693489220.2667234,122880,-614.9431762695312
1693489268.8247774,143360,-602.653564453125
1693489326.1577823,163840,-566.2794799804688
1693489379.480533,184320,-540.7210083007812
1693489434.8131523,204800,-477.5425109863281
1693489488.258666,225280,-428.81317138671875
1693489546.7138383,245760,-466.39166259765625
1693489597.5612197,266240,-493.9054260253906
1693489654.2552779,286720,-478.97589111328125
1693489705.304426,307200,-456.072998046875
1693489757.9818902,327680,-428.6803283691406
1693489828.3951886,348160,-334.59130859375
1693489883.536903,368640,-291.021240234375
1693489948.706566,389120,-307.7344665527344
